word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms
usually,/'ju:ʒuəli/,adv.,"Thường thường, thường xuyên",I'm usually home by 6 o'clock.,Tôi thường về nhà lúc 6 giờ.,Hospitals,B1,https://audio.tflat.vn/data/cache/images/300x225/u/s/usually1.png,,,
accounting,/ə'kauntiɳ/,n.,Công việc kế toán,Good accounting is needed in all businesses.,Việc kế toán tốt là cần thiết cho mọi công việc làm ăn.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/accounting1.jpg,,,
accountant,/əˈkaʊnt(ə)nt/,n.,Kế toán viên,"He is not sure if he owes tax on this, but is meeting his accountant this week to discuss the issue.","Ông ấy không chắc nếu ông nợ thuế về điều này, nhưng sẽ gặp kế toán của mình trong tuần này để thảo luận về vấn đề này.",Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/accountant1.jpg,,,
accumulate,/ə'kju:mjuleit/,v.,"Tích lũy, tích góp, gom góp",They have accumulated more than enough information.,Họ đã tích lũy nhiều hơn mức thông tin đủ dùng.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/accumulate1.png,,,
asset,/'æset/,n.,"Tài sản, của cải",The company's asset are worth millions of dollars.,Tài sản của công ty trị giá hàng triệu đô-la.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/asset1.png,,,
audit,/'ɔ:dit/,v.,Kiểm toán,The independent accountants audited the company's books.,"Những kế toán viên độc lập đã kiểm toán sổ sách kế toán của công ty.
",Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/a/u/audit1.png,,,
budget,/ˈbʌdʒɪt/,n.,"Ngân sách, ngân quỹ",The company will have to prepare bigger budget for this department next year.,Công ty sẽ phải dự thảo ngân sách nhiều hơn cho bộ phận này vào năm sau.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/b/u/budget1.jpg,,,
build up,/'bildʌp/,v.,Xây dựng dần lên,The firm has to build up a solid reputation for itself.,Công ty phải xây dựng dần lên danh tiếng vững chắc cho chính mình.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/b/u/build_up1.jpg,,,
client,/'klaiənt/,n.,"Khách, khách hàng","We must provide excellent services for our clients, otherwise we will lose them to our competition.","Chúng ta phải cung cấp các dịch vụ xuất sắc cho khách hàng của mình, bằng không chúng ta sẽ để mất họ vào tay đối thủ.",Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/c/l/client1.jpg,,,
debt,/det/,n.,"Nợ, món nợ",The banks are worried about your increasing debt.,Các ngân hàng lo lắng về khoản nợ đang gia tăng của anh.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/debt1.jpg,,,
outstanding,/aut'stændiɳ/,adj.,"Còn tồn tại, chưa giải quyết xong, chưa trả nợ",She has outstanding debts of over £500.,Cô ấy còn khoản nợ hơn 500 triệu bảng Anh.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/o/u/outstanding1.jpg,,,
profitably,/ˌprɒfɪtəˈbɪləti/,adv.,"Có lợi, có ích, sinh lãi, sinh lợi",We invested in the stock market profitably.,Công ty đã đầu tư sinh lợi vào thị trường chứng khoán.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/profitably1.jpg,,,
reconcile,/'rekənsail/,v.,"Chỉnh lý, làm cho phù hợp/nhất trí, hòa giải",The accountant found the error when she reconcile the account.,Nhân viên kế toán tìm ra lỗi khi cô ấy chỉnh lý tài khoản (sửa lại tài khoản cho đúng).,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/reconcile1.jpg,,,
turnover,/ˈtɜːnəʊvə(r)/,n.,"Doanh số, doanh thu",An annual turnover of $75 million.,Doanh thu hàng năm là $ 75.000.000.,Accounting,B1,https://audio.tflat.vn/data/cache/images/300x225/t/u/turnover1.jpg,,,
assemble,/ə'sembl/,v.,"Thu thập, tập hợp, lắp ráp",All the students were asked to assemble in the main hall.,Tất cả các sinh viên được yêu cầu tập hợp ở hội trường chính.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/assemble1.png,,,
beforehand,/bi'fɔ:hænd/,adv.,"Có sẵn, trước","To speed up the mailing, we should prepare the labels beforehand.","Để tăng tốc gửi thư, chúng ta nên chuẩn bị nhãn trước.",Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/b/e/beforehand1.jpg,,,
complication,/ˌkɑːmplɪˈkeɪʃn/,n.,"Sự phức tạp, sự rắc rối",She will have to spend two more days in the hospital due to complications during the surgery.,Cô sẽ phải mất hai ngày nữa trong bệnh viện do biến chứng trong khi phẫu thuật.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/complication.jpg,,,
courier,/'kuriə/,n.,"Người đưa thư, người chuyển phát",We hired a courier to deliver the package.,Chúng tôi đã thuê một người đưa thư để phân phát các kiện hàng.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/courier1.png,,,
express,/iks'pres/,adj.,"Nhanh, hỏa tốc, tốc hành.","It's important that this document be there tomorrow, so please send it express mail.","Việc tài liệu này phải có ở chổ ngày mai vì nó rất quan trọng, do đó nên hãy gửi thư chuyển phát nhanh.",Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/express1.png,,,
fold,/fould/,v.,"Gập, gấp",You should fold the omelette in half.,Bạn nên gập trứng rán làm đôi.,Correspondence,B1,https://audio.tflat.vn/data/images_example/300x225/y/o/you_should_ex1_56248d157f8b9a040dc65e74.jpg,,,
layout,/ˈleɪaʊt/,n.,Sự bố trí trang giấy,There is no single correct layout for business letters.,Trong thư thương mại thì không có bổ cục nào là chuẩn hoàn toàn hết cả.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/l/a/layout1.png,,,
mention,/'menʃn/,v.,"Nói đến, đề cập đếm, đề xuất",You should mention in the letter that we can arrange for mailing the brochures as well as printing them.,Anh nên đề cập trong thư rằng chúng ta có thể thu xếp gửi (thư) tờ bướm cũng như là in ấn chúng.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/m/e/mention1.jpg,,,
petition,,n.," đơn kiến nghị, đơn thỉnh cầu",The petition was photocopied and distributed to workers who will collect the neccessary signatures,Đơn kiến nghị được photocopy và phân phát đến những công nhân nào sẽ thu thập chữ ký cần thiết.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/p/e/petition-n1.jpg,,,
proof,/proof/,n.,"Bằng chứng, chứng cớ",These results are a further proof of his ability.,Những kết quả này là một bằng chứng nữa về khả năng của ông.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/proof1.png,,,
register,/'redʤistə/,v.,Đăng ký,You can register this mail for an additional $2.2.,Anh ấy có thể gửi đảm bảo thư này với một khoản 2.2 đô-la phí bổ sung.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/register1.jpg,,,
revise,/ri'vaiz/,v.,"Đọc lại, xem lại, duyệt lại, sửa lại (bản in thử, đạo luật...)",The brochure was revised several times before it was sent to the printer.,Tờ bướm được duyệt lại vài lần trước khi nó được gửi đi in.,Correspondence,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/revise1.png,,,
burden,/'bə:dn/,n.,Gánh nặng,"I never consider looking after my elderly parents as a burden, but a token of gratitude.","Tôi không bao giờ coi việc chăm sóc bố mẹ già là một gánh nặng, mà coi đó là biểu hiện của lòng biết ơn.",Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/b/u/burden2.jpg,,,
commonly,/'kɔmənli/,adv.,"Thường thường, thông thường",The restaurants in this area commonly serve office workers and are only open during the week.,Nhà hàng trong khu này thường phục vụ nhân viên văn phòng và thường mở cửa suốt tuần.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/commonly1.jpg,,,
delivery,/dɪˈlɪvəri/,n.,"Sự giao hàng, sự phân phối",The caterer hired a courier to make the delivery.,Nhà cung cấp thực phẩm đã thuê một người đưa tin để thực hiện việc giao hàng.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/delivery1.png,,,
elegance,/'eligəns/,n.,"Tính thanh lịch, tính tao nhã",The elegance of the restaurant made it a pleasant place to eat.,Sự thanh lịch của nhà hàng khiến nó là một nơi thú vị để ăn uống.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/e/l/elegance1.jpg,,,
fall to,/fɔːl tuː/,v.,Trở thành trách nhiệm của,The tasks of preparing the meal fall to the assistant chef when the chief chef was ill.,Nhiệm vụ nấu ăn rơi vào tay của phụ bếp khi mà người đầu bếp bị bệnh.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/f/a/fall_to1.jpg,,,
impress,/ɪmˈpres/,v.,"Gây ấn tượng, để lại ấn tượng",She was really impressed by the beauty of the city at night.,Cô ấy đã thực sự bị ấn tượng bởi vẻ đẹp của thành phố về đêm.,Ordering Lunch,B1,https://audio.tflat.vn/data/images_example/300x225/s/h/she_was_re_ex1_56248cff7f8b9afc0c297ffd.jpg,,,
individual,"/,indi'vidjuəl/",adj.,"Cá nhân, riêng biệt",We had the delivery man mark the contents of each individual order.,Chúng tôi đã được người giao hàng đánh dấu nội dung cho mỗi đơn hàng riêng biệt.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/individual1.png,,,
list,/list/,n.,Danh sách,I have to buy the food on the list.,Tôi phải mua thực phẩm trong danh sách.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/l/i/list1.jpg,,,
multiple,/'mʌltipl/,adj.,"Nhiều, bội số",a house in multiple ownership/occupancy (= owned/occupied by several different people or families),căn nhà thuộc nhiều người sở hữu,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/m/u/multiple1.png,,,
narrow,/'nærou/,v.,"Thu hẹp, co lại","This restaurant delivers only pizza and sandwiches, so that certainly narrows down the choices.","Nhà hàng này chỉ giao hàng pizza và sandwich, hẳn nhiên là đã làm thu hẹp các chọn lựa.",Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/n/a/narrow1.png,,,
pick up,/'pikʌp/,phr.v.,Đón (ai đó),I'll pick you up at five o'clock.,Tôi sẽ đón bạn lúc 5 giờ.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/p/i/pick_up1.jpg,,,
settle,/'setl/,v.,"Ngồi, đậu, bố trí, định cư, làm ăn sinh sống; giải quyết, hòa giải, dàn xếp",We settle the bill with the cashier.,Chúng tôi thanh toán hóa đơn với người thủ quỹ.,Ordering Lunch,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/settle2.jpg,,,
deal with,/diːl wɪð/,v.,"Giải quyết, đối phó, xử lý; bàn về cái gì, thỏa thuận về cái gì",Ticket agents must courteously deal with irate customers.,Đại lý bán vé phải đối xử nhã nhặn với những khách hàng nổi giận.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/deal_with1.jpg,,,
destination,"/,desti'neiʃn/",n.,"Nơi đến, nơi tới, đích đến, mục đích",The next destination is Ha Long bay.,Điểm đến tiếp theo là vịnh Hạ Long.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/destination.jpg,,,
distinguish,/dis'tiɳgwiʃ/,v.,"Phân biệt, nhận ra, nhận biết; phân thành, chia thành, xếp thành loại",We must distinguish between two kinds of holidays.,Chúng ta phải phân biệt giữa hai loại lễ.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/distinguish2.jpg,,,
economize,/i:'kɔnəmaiz/,v.,"Tiết kiệm, giảm chi",My travel agent knows I like to economize and always looks out for the best prices for me.,Người đại lý du lịch của tôi biết tôi thích tiết kiệm và luôn tìm cho tôi giá tốt nhất.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/e/c/economize1.png,,,
equivalent,/i'kwivələnt/,adj.,Tương đương,The food the airline serves in business class is equivalent to that served in first class.,Đồ ăn mà hãng hàng không phục vụ cho vé hạng thường thì tương đương với đồ ăn được phục vụ cho vé hạng nhất.,Airlines,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_food_t_ex1_56248d167f8b9a040dc66170.png,,,
excursion,/iks'kə:ʃn/,n.,"Cuộc đi tham quan, cuộc đi chơi tập thể",There are regular weekend excursions throughout the summer.,Có chuyến du ngoạn cuối tuần thường xuyên trong suốt mùa hè.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/excursion1.png,,,
expense,/iks'pens/,n.,Chi phí,Buying a new house needs a lot of expense.,Mua một ngôi nhà mới cần rất nhiều chi phí.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/expense1.png,,,
extend,/iks'tend/,v.,"Gia hạn, kéo dài (thời hạn...)",There are plans to extend the subway line in this city.,Có kế hoạch để mở rộng đường tàu điện ngầm trong thành phố này.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/extend1.png,,,
prospective,/prəˈspektɪv/,adj.,"(thuộc) tương lai, triển vọng; về sau, sắp tới",I narrowed my list of prospective destinations to my three top choices.,Tôi rút gọn danh sách các điểm đến triển vọng đối với tôi xuống còn 3 chọn lựa.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/prospective.jpg,,,
situation,"/,sitju'eiʃn/",n.,"Tình hình, vị thế",The airline suggested I check with the State Department regarding the political situation in the country I'm flying to.,Hãng hàng không đã đề nghị tôi kiểm tra với Bộ Ngoại giao Mỹ về tình hình chính trị ở quốc gia mà tôi đang bay đến.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/s/i/situation1.png,,,
substantially,/səb'stænʃəli/,adv.,"Về thực chất, về bản chất, về cơ bản; lớn lao, đáng kể",The airline I work for had a substantially higher rating for customer satisfaction than our competitors had.,Hãng hàng không mà tôi đang làm việc có thứ hạng về sự hài lòng của khách hàng cao hơn đáng kể thứ hạng mà các đối thủ có.,Airlines,B1,https://audio.tflat.vn/data/cache/images/300x225/s/u/substantially2.jpg,,,
system,/ˈsɪstəm/,n.,"Hệ thống, chế độ",The airline system covers the entire world with flights.,Hệ thống hàng không trải ra/bao trùm toàn bộ thế giới bằng các chuyến bay.,Airlines,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_airlin_ex1_56248d167f8b9a040dc6618c.jpg,,,
accurately,/ˈækjərət/,adv.,"‹một cách› chính xác, đúng đắn, xác đáng",The teacher evaluates student's ability accurately.,Giáo viên đánh giá chính xác khả năng của học sinh. ,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_teache_ex1_56248d157f8b9a040dc65f30.jpg,,,
carrier,/'kæriə/,n.,"‹người/công ty› vận chuyển, vận tải","Lou, our favorite carrier, takes extra care of our boxes marked 'fragile'.","Lou, người vận chuyển ưa thich của chúng tôi, đã phải cẩn thận hơn thường lệ với những cái hộp của chúng tôi có dán nhãn ""Dễ vỡ"".",Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/l/o/lou_our_fa_ex1_56248d157f8b9a040dc65f34.jpg,,,
fulfill,/ful'fil/,v.,"Thực hiện, thi hành; hoàn thành, làm tròn",I fulfilled my promise to treat him to dinner.,Tôi đã thực hiện lời hứa của mình là đãi cậu ấy bữa tối. ,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/i/_/i_fulfille_ex1_580de4697f8b9a84688b45a1.jpg,,,
catalog,/ˈkat(ə)lɒg/,v.,Phân thành từng mục,Ellen cataloged the complaints according to severity.,Ellen chia thành từng mục các lời phàn nàn tùy theo tính nghiêm trọng.,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/e/l/ellen_cata_ex1_56248d157f8b9a040dc65f38.jpg,,,
integral,/'intigrəl/,adj.,"Cần thiết, không thể thiếu",The battery is an integral part of a watch and without it you would not know the time.,Pin là một phần không thể thiếu của đồng hồ và nếu không có nó bạn sẽ không biết được thời gian.,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_batter_ex1_56248d157f8b9a040dc65f3c.jpg,,,
minimize,/'minimaiz/,v.,"Giảm thiểu, tối thiểu hóa",The authority must find urgent solutions to minimize pollution.,Chính quyền phải tìm giải pháp cấp bách để giảm thiểu tối đa ô nhiễm.,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_author_ex1_56248cfb7f8b9afa0cb17e28.jpg,,,
inventory,/in'ventri/,n.,‹sự/bản› kiểm kê hàng hóa ,The store closes one day a year so that the staff can take inventory of the stockroom.,Cửa hàng đóng cửa 1 ngày mỗi năm để cho nhân viên có thể thực hiện kiểm kê kho hàng.,Shipping,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/inventory1.jpg,,,
on hand,/ɒn hænd/,adj.,"Có thể dùng được, có sẵn",Do you have any aspirin on hand?,Bạn có sẵn viên thuốc aspirin nào không vậy?,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/d/o/do_you_hav_ex1_580ecade7f8b9ae3898b4589.jpg,,,
remember,/ri'membə/,v.,"Nhớ, ghi nhớ",Please remember to turn off the light before you go home.,Hãy nhớ tắt đèn trước khi bạn về nhà.,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/p/l/please_rem_ex1_56248ced7f8b9af60c142c87.jpeg,,,
ship,/ʃip/,v.,Vận chuyển,"Eva shipped the package carefully, since she knew the contents were made of glass.","Eva đã chuyển hàng một cách cẩn thận, bởi vì cô biết bên trong được làm bằng thủy tinh.",Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/e/v/eva_shippe_ex1_56248d157f8b9a040dc65f44.jpg,,,
sufficiently,/səˈfɪʃnt/,adv.,"Đủ, có đủ",Two stars are sufficiently close together.,Hai ngôi sao đủ gần nhau. ,Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/t/w/two_stars__ex1_580de46a7f8b9a84688b45a4.jpg,,,
supply,/sə'plai/,n.,"‹sự/đồ/nguồn/_› dự trữ, tiếp tế cấp","By making better use of our supply, we can avoid ordering until next month.","Bằng cách dùng tốt hơn đồ dự trữ của mình, chúng tôi khỏi phải đặt hàng cho đến tháng tới.",Shipping,B1,https://audio.tflat.vn/data/images_example/300x225/b/y/by_making__ex1_56248d157f8b9a040dc65f4c.jpg,,,
action,/ˈækʃn/,n.,"Hành động, hoạt động",I like action films.,Tôi thích phim hành động.,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/action1.png,,,
approach,/əˈproʊtʃ/,v.,"Tiếp cận, tiến lại gần","If you look out of the window, you will see the sun approaching.","Nếu bạn nhìn ra cửa sổ, bạn sẽ thấy mặt trời đang tiến lại gần.",Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/a/p/approach1.png,,,
audience,/ˈɔːdiəns/,n.,Khán giả,Millions of audiences all over the world enjoy this programme.,Hàng triệu khán giả trên toàn thế giới yêu thích chương trình này.,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/a/u/audience1.jpg,,,
creative,/kriˈeɪtɪv/,adj.,Sáng tạo,You are so creative! I have never seen any pictures like this before.,Cậu thật là sáng tạo! Tớ chưa bao giờ nhìn thấy bức tranh nào như này trước đây cả.,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/c/r/creative1.png,,,
dialogue,/'daiəlɔg/,n.,Cuộc đối thoại,The actors performed the dialogue without using scripts.,Các diễn viên trình diễn cuộc đối thoại mà không dùng kịch bản.,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/dialogue1.png,,,
element,/'elimənt/,n.,Yếu tố,The audience is an essential element of live theater.,Khán giả là một yếu tố thiết yếu của nhà hát sống (nhà hát trực tiếp).,Theater,B1,https://audio.tflat.vn/data/images_example/300x225/_/t/_the_audie_ex1_56248d167f8b9a040dc66204.jpg,,,
experience,/ɪkˈspɪriəns/,n.,Kinh nghiệm,Do you have any experience in teaching children?,Bạn có kinh nghiệm dạy trẻ con không?,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/experience1.jpg,,,
occur,/əˈkɜː/,v.,Xảy ra,The tsunami occurred at about 3.30 p.m.,Vụ sóng thần xảy ra vào lúc khoảng 3:30 chiều.,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/o/c/occur1.jpg,,,
perform,/pəˈfɔːm/,v.,"Biểu diễn, trình diễn",A water puppet show is performed in a pool.,Chương trình múa rối nước được biểu diễn trong một cái bể nước.,Theater,B1,https://audio.tflat.vn/data/images_example/300x225/a/_/a_water_pu_ex1_56248cf57f8b9af80c012359.jpg,,,
rehearse,/rɪˈhɜːs/,v.,Diễn tập,"Today, we'll just rehearse the final scene.","Hôm nay, chúng tôi sẽ chỉ tập luyện cảnh cuối cùng.",Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/rehearse1.png,,,
review,/rɪˈvjuː/,n.,"Bài đánh giá, lời đánh giá",The film received generally positive reviews.,Bộ phim nhìn chung đã nhận được nhiều lời đánh giá tích cực.,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/review1.jpeg,,,
sell out,/'selaut/,v.,Hết vé,The tickets sold out within hours.,Các vé đã được bán hết trong vài giờ.,Theater,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/sell_out1.jpg,,,
annually,/'ænjuəli/,adv.,"Hàng năm, từng nằm, thường niên (yearly)",Everyone should get a physical exam annually.,Mọi người nên đi khám sức khỏe hàng năm.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/a/n/annually2.jpg,,,
appointment,/ə'pɔintmənt/,n.,"Cuộc hẹn, sự hẹn gặp",I've got a dentist appointment at 3 o'clock.,Tôi đã có một cuộc hẹn với nha sĩ lúc 03:00.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/a/p/appointment2.jpg,,,
assess,/ə'ses/,v.,"Đánh giá, ước lượng ",The insurance rate Mr. Victor was assessed went up this year after he admitted that he had started smoking again.,Mức phí bảo hiểm mà ông Victor được định giá tăng lên sau khi ông thú nhận đã bắt đầu hút thuốc trở lại.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/assess1.png,,,
diagnose,/´daiəg¸nouz/,v.,Chuẩn đoán,"After considering the patient's symptoms and looking at his test results, the doctor diagnosed the lump as benign.","Sau khi cân nhắc các triệu chứng của bệnh nhân và xem kết quả xét nghiệm của anh ta, vị bác sĩ đã chẩn đoán khối u là u lành.",Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/diagnose1.png,,,
effective,/ɪˈfektɪv/,adj.,"Có hiệu quả, có tác dụng",Howard was pleased to find that the diet recommended by his doctor was quite effective.,Howard đã đã cảm thấy hài lòng khi chế độ ăn kiêng được bác sĩ dặn đã hoàn toàn có hiệu quả.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/e/f/effective1.jpg,,,
instrument,/'instrumənt/,n.,"Dụng cụ, công cụ",The senior physician carried his instruments in a black leather bag.,Người thầy thuốc thâm niên mang những dụng cụ của mình trong một cái túi da màu đen.,Doctor's Office,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_senior_ex1_56248d167f8b9a040dc6624c.jpg,,,
manage,/'mænidʤ/,v.,"Quán lý, điều hành",I managed to pass the exams.,Tôi đã xoay sở vượt qua được các kỳ thi.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/m/a/manage1.png,,,
prevent,/prɪˈvent/,v.,"Ngăn ngừa, phòng ngừa",This vaccine can prevent having some common childhood diseases.,Loại vắc-xin này có thể phòng ngừa một số loại bệnh thường gặp ở trẻ nhỏ.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/prevent1.png,,,
recommendation,"/,rekəmen'deiʃn/",n.,"Lời dặn dò, đề nghị ",It is important to follow the doctor's recommendations if you want to improve your health.,Thật quan trọng để làm theo những dặn dò của bác sĩ nếu bạn muốn cải thiện sức khỏe.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/recommendation.png,,,
record,/´rekərd/,n.,"Hồ sơ, sổ sách, biên bản",You should keep a record of your expenses.,Bạn nên lưu trữ lại hồ sơ lưu trữ chi phí khám bệnh của bạn.,Doctor's Office,B1,https://audio.tflat.vn/data/images_example/300x225/y/o/you_should_ex1_56248cf57f8b9af80c0121ad.jpg,,,
refer,/ri'fə:/,v.,"Quy vào, nói đến","As soon as Agnes referred to the failed treatment, everyone's mood soured.","Ngay khi Agnes quy cho việc thất bại là do điều trị, tâm trạng của mọi người đã tỏ ra cáu kỉnh.",Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/refer1.png,,,
serious,/'siəriəs/,adj.,Nghiêm túc,We are always serious when working.,Chúng tôi luôn nghiêm túc khi làm việc.,Doctor's Office,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/serious1.png,,,
event,/ɪˈvent/,n.,Sự kiện,What is the event in the Sports programme today?,Sự kiện trong chương trình thể thao hôm nay là gì?,Events,B1,https://audio.tflat.vn/data/images_example/300x225/w/h/what_is_th_ex1_56248cf47f8b9af80c011f5d.png,,,
assist,/ə'sist/,v.,"Giúp đỡ, có mặt",Bonnie hired a secretary to assist her with the many details of the event.,Bonnie đã thuê một thư ký để trợ giúp cô về rất nhiều chi tiết của sự kiện.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/assist1.png,,,
coordinate,/kou'ɔ:dneit/,v.,Kết hợp,You should coordinate your activities with those of other groups.,Em nên kết hợp hoạt động của các em với hoạt động của các nhóm khác.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/coordinate1.png,,,
dimension,/di'menʃn/,n.,"Kích thước, khổ",What are the dimensions of the ballroom?,Kích thước của phòng nhảy ra sao?,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/dimension1.png,,,
exact,/ig'zækt/,adj.,"Chính xác, đúng dắn",We will need an exact head count by noon tomorrow.,Chúng tôi cần biết tổng số đầu người chính xác trước trưa ngày mai.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/exact1.png,,,
general,/'dʤenərəl/,adj.,"Chung, tổng quát",We have a general idea of how many guests will attend.,Chúng tôi có một hình dung chung chung về việc có bao nhiêu vị khách sẽ tham dự.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/g/e/general-clone11.jpg,,,
ideally,/ai'diəli/,adv.,Một cách lý tưởng,The location for the concert would ideally have plenty of parking.,Chỗ địa điểm cho buổi hòa nhạc lý tưởng nên có nhiều chỗ đậu xe.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/i/d/ideally1.jpg,,,
lead time,/ˈliːdtʌɪm/,n.,Khoảng thời gian ở giữa sự bắt đầu và sự hoàn thành của một quá trình,The lead time for reservations is unrealistic.,Khoảng thời gian cho quá trình đặt chỗ diễn ra là phi thực tế.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/l/e/lead_time1.jpg,,,
plan,/plæn/,n.,"Kế hoạch, dự án",Do you have any plans for the summer?,Bạn có kế hoạch nào cho mùa hè không?,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/p/l/plan1.jpg,,,
proximity,/prɔk´simiti/,n.,"Sắp xỉ, sự gần gũi",The fans were worried by the proximity of the storm clouds.,Những người hâm mộ lo lắng bởi đám mây báo bão đến gần.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/proximity1.jpg,,,
regulate,/ˈregjʊleɪt/,v.,Điều chỉnh,The activities of credit companies are regulated by law.,Các hoạt động của các công ty tín dụng được điều chỉnh bởi pháp luật.,Events,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/regulate1.jpg,,,
